model,IFEval,BBH,MATH,GPQA,MUSR,MMLU_PRO
tinycompany/ShawtyIsBad-ib,0.2565149359255664,0.3880457874839807,0.049093656,0.2986577181208054,0.3641041666666667,0.258061835
tinycompany/ShawtyIsBad-nomic-moe,0.2607614462958284,0.3878019225656597,0.04305136,0.3070469798657718,0.37470833333333337,0.2572307180851064
tinycompany/ShawtyIsBad-nomic1.5,0.2543916807404354,0.3873599493472512,0.04305136,0.311241611,0.36283333333333334,0.25673204787234044
tinycompany/SigmaBoi-base,0.24469961923252526,0.4314363391906919,0.077794562,0.2936241610738255,0.43427083333333333,0.2816655585106383
tinycompany/SigmaBoi-bge-m3,0.24502431326657714,0.43509173985964184,0.076283988,0.29446308724832215,0.4383020833333333,0.28191489361702127
tinycompany/SigmaBoi-bgem3,0.24502431326657714,0.43509173985964184,0.076283988,0.29446308724832215,0.4383020833333333,0.28191489361702127
tinycompany/SigmaBoi-ib,0.24774708883540117,0.4343622024096135,0.074018127,0.287751678,0.42896874999999995,0.2824135638297872
tinycompany/SigmaBoi-nomic-moe,0.2474223948013493,0.43341835214223373,0.071752266,0.29278523489932884,0.43163541666666666,0.28366023936170215
tinycompany/SigmaBoi-nomic1.5,0.24469961923252526,0.43705348265770266,0.083081571,0.2961409395973154,0.4316041666666666,0.28407579787234044
tinycompany/SigmaBoi-nomic1.5-fp32,0.24622335403396323,0.43705348265770266,0.083081571,0.2961409395973154,0.4316041666666666,0.28407579787234044
tinycompany/Tamed-Shawty,0.38308576798450333,0.3837059588999942,0.071752266,0.2625838926174497,0.35009375000000004,0.2601396276595745
tklohj/WindyFloLLM,0.26685638550158025,0.4636616007058791,0.015861027190332326,0.2751677852348993,0.4253125,0.25814494680851063
togethercomputer/GPT-JT-6B-v1,0.20610646418170453,0.33026609127426704,0.010574018126888218,0.2609060402684564,0.37365625,0.16256648936170212
togethercomputer/GPT-NeoXT-Chat-Base-20B,0.18297561581049393,0.33209702572173033,0.023413897280966767,0.25,0.3460625,0.11452792553191489
togethercomputer/LLaMA-2-7B-32K,0.18649738250065384,0.33995175217301715,0.014350453172205438,0.25,0.3753645833333333,0.17677859042553193
togethercomputer/Llama-2-7B-32K-Instruct,0.2130003945087922,0.34434724239927544,0.015861027190332326,0.2516778523489933,0.40559375,0.17810837765957446
togethercomputer/RedPajama-INCITE-7B-Base,0.20822971936683554,0.31948898765013445,0.015861027190332326,0.2550335570469799,0.36199999999999993,0.1196808510638298
togethercomputer/RedPajama-INCITE-7B-Chat,0.1557977278066641,0.3175449328457368,0.006797583,0.2525167785234899,0.3447604166666667,0.11211768617021277
togethercomputer/RedPajama-INCITE-7B-Instruct,0.2055069437980115,0.337743947,0.021148036253776436,0.25083892617449666,0.3685104166666666,0.1272440159574468
togethercomputer/RedPajama-INCITE-Base-3B-v1,0.22936253584932426,0.3060403878987615,0.014350453172205438,0.24328859060402686,0.37387499999999996,0.11112034574468085
togethercomputer/RedPajama-INCITE-Chat-3B-v1,0.16521496296493304,0.32166937119202416,0.009063444,0.24412751677852348,0.3684479166666667,0.11269946808510638
togethercomputer/RedPajama-INCITE-Instruct-3B-v1,0.2124263620526869,0.3146017752057237,0.012839879,0.24748322147651006,0.38860416666666664,0.11095412234042554
tokyotech-llm/Llama-3-Swallow-8B-Instruct-v0.1,0.5507719517546776,0.5009389976232003,0.074773414,0.28942953020134227,0.43569791666666663,0.3087599734042553
tomasmcm/sky-t1-coder-32b-flash,0.7780090160773414,0.6822440044314982,0.5422960725075529,0.36828859060402686,0.4232708333333333,0.5782081117021277
trthminh1112/autotrain-llama32-1b-finetune,0.17685518867715438,0.29956269409410674,0.015105740181268883,0.25671140939597314,0.35127083333333337,0.10987367021276596
tugstugi/Qwen2.5-7B-Instruct-QwQ-v0.1,0.6017300761978217,0.5101062293388118,0.3814199395770393,0.2684563758389262,0.3794270833333333,0.4080784574468085
universalml/NepaliGPT-2.0,0.036495388,0.46604761322722105,0.004531722,0.28104026845637586,0.4656770833333333,0.3299534574468085
unsloth/Llama-3.2-1B-Instruct,0.5809973093613834,0.34847036874553655,0.082326284,0.2676174496644295,0.3196145833333333,0.17420212765957446
unsloth/Llama-3.2-1B-Instruct-no-system-message,0.5649853499824908,0.3543744783345775,0.075528701,0.2726510067114094,0.3340625,0.1668882978723404
unsloth/Phi-3-mini-4k-instruct,0.544027624,0.5500239467441027,0.16389728096676737,0.32298657718120805,0.42841666666666667,0.4030917553191489
unsloth/phi-4,0.6882083981613231,0.6885874406040138,0.5,0.33640939597315433,0.41142708333333333,0.5378158244680851
unsloth/phi-4-bnb-4bit,0.6729710501469435,0.6769854242339189,0.4607250755287009,0.33808724832214765,0.40072916666666664,0.5255984042553191
unsloth/phi-4-unsloth-bnb-4bit,0.6793906833867471,0.6791089896968764,0.4561933534743202,0.33640939597315433,0.40339583333333334,0.5285904255319149
upstage/SOLAR-10.7B-Instruct-v1.0,0.4736609972650345,0.5162494941446991,0.056646526,0.3087248322147651,0.3899375,0.31382978723404253
upstage/SOLAR-10.7B-v1.0,0.24212644671693329,0.5093873084711799,0.026435045317220542,0.28104026845637586,0.43715624999999997,0.3400099734042553
upstage/solar-pro-preview-instruct,0.8415814483348626,0.6816843051379534,0.22054380664652568,0.37080536912751677,0.44165625000000003,0.52734375
utkmst/chimera-beta-test2-lora-merged,0.6054269338688014,0.47957156724192185,0.095166163,0.3036912751677852,0.4117916666666667,0.2992021276595745
uukuguy/speechless-code-mistral-7b-v1.0,0.36652415590632853,0.4571712887094195,0.052114804,0.28439597315436244,0.45017708333333334,0.3145777925531915
uukuguy/speechless-codellama-34b-v2.0,0.46042168113937687,0.4813126697444618,0.04305136,0.2692953020134229,0.37870833333333337,0.25423869680851063
